200 300
0 11 5
0 15 6
0 25 7
0 28 7
0 31 9
0 43 3
0 56 5
0 73 7
0 82 9
0 86 4
0 95 4
0 100 9
0 116 5
0 128 7
0 131 2
0 132 8
0 142 3
0 145 2
0 157 5
0 160 6
0 162 6
0 171 5
0 181 6
0 188 4
0 200 8
0 205 1
0 208 6
0 231 7
0 247 4
0 291 8
0 299 5
1 23 2
1 29 7
1 32 9
1 39 7
1 66 2
1 67 4
1 70 4
1 75 7
1 79 4
1 101 5
1 111 3
1 113 2
1 122 5
1 131 6
1 143 9
1 149 7
1 152 1
1 158 5
1 165 5
1 170 5
1 177 3
1 182 2
1 185 6
1 193 8
1 199 9
1 201 1
1 203 7
1 205 9
1 206 5
1 207 7
1 208 8
1 223 9
1 244 6
1 267 8
1 284 4
1 292 3
2 12 2
2 14 3
2 26 7
2 27 3
2 29 8
2 90 8
2 92 2
2 96 1
2 108 9
2 110 7
2 137 5
2 144 7
2 177 4
2 181 6
2 192 7
2 200 2
2 210 5
2 233 6
2 238 3
2 244 9
2 255 2
2 269 2
2 270 2
2 292 3
3 3 1
3 12 7
3 29 1
3 32 7
3 90 2
3 112 2
3 130 3
3 136 8
3 144 7
3 148 8
3 153 9
3 155 8
3 163 5
3 164 7
3 169 7
3 189 5
3 209 4
3 229 7
3 233 2
3 234 9
3 237 3
3 248 2
3 256 6
3 268 2
3 269 7
3 275 2
3 277 4
3 280 4
3 298 2
3 299 8
4 22 2
4 31 7
4 41 3
4 51 6
4 76 9
4 77 7
4 78 4
4 92 7
4 97 5
4 100 9
4 111 3
4 113 6
4 120 9
4 123 9
4 125 8
4 127 3
4 134 9
4 137 1
4 145 2
4 146 7
4 169 4
4 180 2
4 189 9
4 194 8
4 205 1
4 212 6
4 231 2
4 246 5
4 250 4
4 266 9
4 269 8
4 281 8
4 288 6
5 6 5
5 14 9
5 28 8
5 34 9
5 39 2
5 41 8
5 42 7
5 43 7
5 44 3
5 46 1
5 59 5
5 72 4
5 98 5
5 126 9
5 129 3
5 140 4
5 145 5
5 161 6
5 164 7
5 166 3
5 194 1
5 208 3
5 210 6
5 214 3
5 217 5
5 228 3
5 230 9
5 234 2
5 235 6
5 238 9
5 242 5
5 256 7
5 268 3
5 276 2
5 286 5
5 290 3
5 292 6
6 2 9
6 8 8
6 66 4
6 79 3
6 88 9
6 91 9
6 93 8
6 103 5
6 127 7
6 128 5
6 130 1
6 147 2
6 156 8
6 165 7
6 197 9
6 204 3
6 211 1
6 232 6
6 237 5
6 240 8
6 243 7
6 269 6
6 286 8
6 297 9
7 10 6
7 20 5
7 38 4
7 45 1
7 51 2
7 66 9
7 67 5
7 79 7
7 80 9
7 85 8
7 93 6
7 101 4
7 105 6
7 106 7
7 111 4
7 112 3
7 116 2
7 117 4
7 120 2
7 135 6
7 137 6
7 151 3
7 162 9
7 185 2
7 199 2
7 204 4
7 205 5
7 220 1
7 223 4
7 230 9
7 232 6
7 256 1
7 259 7
7 262 6
7 265 3
7 267 1
7 284 8
8 13 1
8 28 4
8 48 1
8 49 6
8 50 4
8 54 9
8 56 2
8 60 7
8 66 7
8 74 6
8 85 1
8 96 9
8 105 1
8 112 1
8 129 2
8 135 2
8 140 7
8 151 1
8 167 9
8 170 3
8 175 4
8 176 5
8 192 7
8 195 2
8 196 4
8 219 8
8 220 2
8 221 8
8 229 4
8 232 3
8 235 5
8 244 1
8 263 4
8 271 7
8 278 7
8 281 4
8 285 9
8 297 4
9 23 6
9 38 8
9 39 3
9 55 6
9 68 5
9 80 1
9 84 8
9 100 8
9 105 9
9 109 2
9 111 8
9 112 8
9 125 9
9 128 1
9 131 5
9 132 9
9 154 3
9 178 8
9 182 1
9 187 5
9 210 3
9 234 5
9 246 6
9 257 6
9 261 7
9 288 2
10 82 4
10 84 7
10 93 4
10 95 6
10 100 5
10 113 1
10 126 3
10 134 5
10 137 6
10 141 7
10 153 9
10 154 5
10 168 6
10 179 2
10 180 8
10 199 2
10 202 2
10 207 7
10 216 5
10 233 9
10 237 2
10 253 2
10 256 2
10 275 3
10 288 2
10 289 3
11 5 6
11 10 8
11 25 6
11 46 9
11 87 2
11 89 4
11 94 5
11 103 1
11 150 9
11 156 3
11 167 1
11 169 9
11 176 3
11 182 5
11 185 8
11 192 3
11 200 5
11 206 8
11 221 9
11 222 3
11 226 6
11 255 6
11 258 2
11 268 9
11 285 7
11 292 6
12 12 8
12 25 2
12 30 7
12 44 7
12 51 5
12 68 6
12 94 1
12 96 1
12 105 3
12 109 2
12 127 5
12 131 4
12 150 5
12 157 4
12 182 8
12 183 3
12 199 5
12 200 8
12 201 4
12 211 1
12 217 7
12 228 3
12 236 9
12 239 1
12 243 2
12 258 8
12 272 1
12 290 7
13 0 2
13 5 1
13 8 7
13 18 9
13 19 4
13 32 9
13 56 2
13 61 4
13 66 1
13 97 8
13 106 7
13 136 5
13 160 4
13 172 9
13 173 9
13 185 1
13 199 6
13 203 8
13 220 1
13 231 9
13 247 3
13 253 2
13 281 5
13 291 2
14 2 5
14 4 7
14 8 9
14 11 9
14 16 1
14 43 5
14 50 8
14 53 6
14 64 6
14 74 4
14 92 4
14 98 2
14 110 3
14 116 9
14 119 5
14 123 4
14 125 2
14 130 1
14 133 8
14 142 5
14 160 8
14 165 5
14 172 9
14 179 8
14 184 5
14 187 5
14 199 2
14 200 7
14 211 9
14 212 7
14 217 5
14 224 3
14 228 4
14 248 6
14 256 1
14 263 4
14 269 8
14 274 2
14 275 8
14 276 4
14 293 2
14 294 1
14 298 9
15 6 6
15 10 5
15 37 7
15 50 2
15 63 9
15 64 8
15 76 5
15 79 3
15 103 6
15 110 9
15 123 6
15 126 8
15 130 2
15 140 9
15 147 8
15 148 8
15 154 1
15 159 1
15 170 1
15 188 2
15 200 7
15 209 8
15 213 8
15 228 2
15 229 4
15 240 4
15 247 6
15 252 7
15 266 2
15 286 8
15 295 5
16 4 5
16 9 1
16 14 6
16 27 8
16 55 6
16 62 9
16 110 6
16 117 1
16 149 3
16 151 3
16 172 5
16 178 6
16 182 7
16 193 5
16 198 3
16 200 1
16 229 9
16 231 9
16 248 8
16 258 1
16 267 5
16 297 7
17 28 7
17 29 3
17 35 5
17 37 4
17 45 7
17 56 9
17 59 1
17 61 4
17 63 9
17 77 8
17 110 6
17 117 8
17 126 2
17 152 2
17 154 5
17 165 2
17 172 7
17 176 1
17 179 8
17 194 2
17 206 2
17 213 9
17 221 7
17 230 6
17 247 8
17 260 3
17 265 9
17 266 5
17 273 3
17 286 7
17 289 4
18 17 7
18 47 2
18 52 3
18 54 4
18 67 5
18 101 1
18 107 1
18 156 8
18 161 8
18 175 7
18 176 3
18 193 3
18 205 7
18 219 5
18 227 4
18 230 8
18 251 9
18 254 2
18 259 4
18 272 6
18 283 6
18 286 9
18 298 2
19 1 9
19 6 6
19 10 2
19 12 1
19 17 3
19 19 2
19 21 9
19 27 1
19 28 1
19 37 2
19 53 5
19 61 3
19 68 7
19 78 8
19 82 8
19 93 7
19 105 8
19 112 5
19 113 3
19 114 9
19 115 9
19 127 4
19 141 6
19 150 9
