0 0
0 2 5
0 9 7
0 16 12
0 21 4
0 27 10
0 36 4
0 44 4
0 48 6
0 54 9
0 61 6
0 66 3
0 70 4
0 78 1
0 82 2
0 84 8
0 93 8
0 94 8
0 95 1
0 98 7
0 102 5
0 109 5
0 118 16
0 119 2
0 121 7
0 122 2
0 125 6
0 127 2
0 133 6
0 140 7
0 146 2
0 150 7
0 151 8
0 153 7
0 158 8
0 159 9
0 171 3
0 178 9
0 184 9
0 187 2
0 193 3
0 194 4
1 4 3
1 5 9
1 11 2
1 12 1
1 28 5
1 29 3
1 46 9
1 49 9
1 51 1
1 54 8
1 56 3
1 63 4
1 66 8
1 68 2
1 71 7
1 75 3
1 76 9
1 84 6
1 89 2
1 94 1
1 95 6
1 98 2
1 107 3
1 110 6
1 115 3
1 121 1
1 131 1
1 136 3
1 143 8
1 144 16
1 162 5
1 163 3
1 165 5
1 170 4
1 173 7
1 174 3
1 177 2
1 178 4
1 181 6
1 192 5
1 196 3
2 0 2
2 4 9
2 6 8
2 9 8
2 10 5
2 17 7
2 24 9
2 26 1
2 29 7
2 38 7
2 41 8
2 56 7
2 59 5
2 61 4
2 64 1
2 65 3
2 77 12
2 90 2
2 92 2
2 94 5
2 97 2
2 109 9
2 111 6
2 115 2
2 118 2
2 126 4
2 130 5
2 132 3
2 138 8
2 143 5
2 146 8
2 148 4
2 149 6
2 151 3
2 153 1
2 154 4
2 174 3
2 179 9
2 181 6
2 183 6
2 190 9
2 195 3
2 196 7
2 197 2
3 4 6
3 20 4
3 21 3
3 22 7
3 31 5
3 50 9
3 60 4
3 69 7
3 70 3
3 73 8
3 74 7
3 78 8
3 81 11
3 85 6
3 89 9
3 92 6
3 99 6
3 104 1
3 106 8
3 112 9
3 118 9
3 120 6
3 129 7
3 135 7
3 138 7
3 140 7
3 142 2
3 146 9
3 148 7
3 149 3
3 153 7
3 173 7
3 179 9
3 183 4
3 191 4
3 195 14
3 196 7
4 3 3
4 21 15
4 26 2
4 28 9
4 29 1
4 37 8
4 38 4
4 39 6
4 45 8
4 50 5
4 55 6
4 63 8
4 73 3
4 79 9
4 83 2
4 92 9
4 101 6
4 105 2
4 106 7
4 107 1
4 110 4
4 112 5
4 113 14
4 124 4
4 146 7
4 158 4
4 159 2
4 161 9
4 164 5
4 175 9
4 177 4
4 180 5
4 184 9
4 188 1
4 194 9
4 196 5
4 199 5
5 0 5
5 6 9
5 15 6
5 21 3
5 25 10
5 26 8
5 31 2
5 33 6
5 34 3
5 37 7
5 42 3
5 45 8
5 49 9
5 55 6
5 58 12
5 59 9
5 66 1
5 74 7
5 76 9
5 78 6
5 79 6
5 95 8
5 102 7
5 103 6
5 104 6
5 106 2
5 109 9
5 123 3
5 125 3
5 127 9
5 128 9
5 135 4
5 138 8
5 149 8
5 151 12
5 153 8
5 156 3
5 157 9
5 159 5
5 160 6
5 162 8
5 163 8
5 172 2
5 179 2
5 182 5
5 184 7
5 185 6
5 191 7
5 192 6
5 195 2
5 199 8
6 2 8
6 6 2
6 11 1
6 16 9
6 24 3
6 28 5
6 35 7
6 36 9
6 37 6
6 38 10
6 39 7
6 41 4
6 44 6
6 50 3
6 53 5
6 54 3
6 57 2
6 58 9
6 63 9
6 74 4
6 75 1
6 77 3
6 78 9
6 81 2
6 84 9
6 86 7
6 96 6
6 103 2
6 111 2
6 113 5
6 121 4
6 123 3
6 127 7
6 133 8
6 143 1
6 151 2
6 154 2
6 155 3
6 158 9
6 161 9
6 168 3
6 174 5
6 177 9
6 178 7
6 192 1
7 2 2
7 5 5
7 12 1
7 30 9
7 33 4
7 34 7
7 43 9
7 46 4
7 55 9
7 62 1
7 64 1
7 69 3
7 76 7
7 78 3
7 82 7
7 88 8
7 94 5
7 95 9
7 106 7
7 113 9
7 131 2
7 133 8
7 142 9
7 164 6
7 172 1
7 174 9
7 176 2
7 183 5
7 184 8
7 193 4
8 13 6
8 15 7
8 19 2
8 28 1
8 40 4
8 43 7
8 55 8
8 57 7
8 59 7
8 63 3
8 70 6
8 75 7
8 82 5
8 85 1
8 97 7
8 105 8
8 116 5
8 118 3
8 119 6
8 120 6
8 130 5
8 132 6
8 135 7
8 138 5
8 145 4
8 156 8
8 157 2
8 159 2
8 172 6
8 179 6
8 181 1
8 183 3
8 188 1
8 189 1
8 193 1
8 195 2
8 198 1
9 2 3
9 3 9
9 6 6
9 9 2
9 13 8
9 22 7
9 30 3
9 34 10
9 36 6
9 47 1
9 52 10
